%x	y	z	t	a	ad	adf	
0.386	0.123	0.063	0.08919	0.0136	6.02841	173.97159	
0.359	0.208	0.064	0.09856	0.10223	5.16926	174.83074	
0.384	0.113	0.072	0.2	0.20319	114.21997	65.78003	
0.328	0.305	0.073	0.00748	0.10374	69.66012	110.33988	
0.324	0.307	0.079	0.10611	0.20907	179.83136	0.16864	
0.349	0.204	0.084	0.10296	0.11564	5.73727	174.26273	
0.373	0.104	0.089	0.21763	0.22034	109.18061	70.81939	
0.313	0.313	0.098	0.00787	0.01594	170.01593	9.98407	
0.308	0.314	0.104	0.00812	0.01676	174.23182	5.76818	
0.304	0.315	0.111	0.00866	0.01539	170.91587	9.08413	
0.299	0.316	0.118	0.00678	0.01404	172.92362	7.07638	
0.296	0.317	0.124	0.00728	0.01393	169.38034	10.61966	
0.292	0.318	0.13	0.00671	0.01435	171.80082	8.19918	
0.289	0.318	0.136	0.00768	0.0149	169.59484	10.40516	
0.286	0.319	0.143	0.00728	0.0149	169.59484	10.40516	
0.282	0.32	0.149	0.00768	0.01435	171.80082	8.19918	
0.279	0.321	0.156	0.00671	0.0148	172.25063	7.74937	
0.276	0.321	0.162	0.00812	0.01356	171.4269	8.5731	
0.272	0.322	0.169	0.00548	0.01136	170.94635	9.05365	
0.27	0.323	0.174	0.00592	0.01005	162.97613	17.02387	
0.267	0.324	0.179	0.00424	0.00877	167.75633	12.24367	
0.266	0.325	0.183	0.00458	0.00806	151.02342	28.97658	
0.265	0.327	0.187	0.00374	0.00592	162.97613	17.02387	
0.264	0.33	0.189	0.00224	0.0064	123.21091	56.78909	
0.264	0.332	0.19	0.0049	0.00911	159.48587	20.51413	
0.266	0.336	0.188	0.00436	0.01221	154.64234	25.35766	
0.267	0.339	0.185	0.00812	0.01565	174.00765	5.99235	
0.272	0.343	0.18	0.00755	NaN	NaN	NaN	
0.276	0.347	0.175	NaN	0.39818	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.388	-0.004	0.326	0.00648	0.01208	169.10661	10.89339	
0.384	-0.009	0.325	0.00566	0.01345	174.80557	5.19443	
0.38	-0.013	0.325	0.00781	0.0136	171.15819	8.84181	
0.375	-0.019	0.325	0.00583	0.01237	161.07139	18.92861	
0.372	-0.024	0.325	0.00671	0.01404	156.92292	23.07708	
0.368	-0.029	0.323	0.00762	0.01389	164.53878	15.46122	
0.365	-0.036	0.323	0.0064	0.01304	167.90524	12.09476	
