%x	y	z	t
0.386	0.123	0.063	0.08919
0.359	0.208	0.064	0.09856
0.384	0.113	0.072	0.2
0.328	0.305	0.073	0.00748
0.324	0.307	0.079	0.10611
0.349	0.204	0.084	0.10296
0.373	0.104	0.089	0.21763
0.313	0.313	0.098	0.00787
0.308	0.314	0.104	0.00812
0.304	0.315	0.111	0.00866
0.299	0.316	0.118	0.00678
0.296	0.317	0.124	0.00728
0.292	0.318	0.13	0.00671
0.289	0.318	0.136	0.00768
0.286	0.319	0.143	0.00728
0.282	0.32	0.149	0.00768
0.279	0.321	0.156	0.00671
0.276	0.321	0.162	0.00812
0.272	0.322	0.169	0.00548
0.27	0.323	0.174	0.00592
0.267	0.324	0.179	0.00424
0.266	0.325	0.183	0.00458
0.265	0.327	0.187	0.00374
0.264	0.33	0.189	0.00224
0.264	0.332	0.19	0.0049
0.266	0.336	0.188	0.00436
0.267	0.339	0.185	0.00812
0.272	0.343	0.18	0.00755
NaN	NaN	NaN	NaN
0.388	-0.004	0.326	0.00648
0.384	-0.009	0.325	0.00566
0.38	-0.013	0.325	0.00781
0.375	-0.019	0.325	0.00583
0.372	-0.024	0.325	0.00671
0.368	-0.029	0.323	0.00762
0.365	-0.036	0.323	0.0064
0.361	-0.041	0.323	0.00671
0.358	-0.047	0.323	0.0064
0.354	-0.052	0.323	0.00748
0.35	-0.058	0.325	0.00648
0.346	-0.063	0.326	0.00714
0.341	-0.068	0.327	0.005
0.338	-0.072	0.327	0.00787
0.332	-0.077	0.328	0.005
0.328	-0.08	0.328	0.00574
0.324	-0.084	0.329	0.00458
0.32	-0.086	0.33	0.00735
0.314	-0.089	0.333	0.00539
0.31	-0.091	0.336	0.00648
0.305	-0.092	0.34	0.00728
0.299	-0.093	0.344	0.0064
0.294	-0.093	0.348	0.00714
0.289	-0.094	0.353	0.00707
NaN	NaN	NaN	NaN
0.092	-0.171	0.278	0.00592
0.087	-0.17	0.275	0.00787
0.081	-0.169	0.27	0.0064
0.076	-0.169	0.266	0.00943
0.068	-0.169	0.261	0.00728
0.062	-0.168	0.257	0.00787
0.056	-0.169	0.252	0.0086
0.042	-0.169	0.242	0.00721
0.029	-0.17	0.235	0.00768
0.022	-0.171	0.232	0.0051
0.017	-0.171	0.231	0.00707
0.01	-0.172	0.231	0.00608
0.004	-0.172	0.232	0.0051
-0.001	-0.172	0.233	0.00548
-0.006	-0.171	0.235	0.00583
-0.011	-0.171	0.238	0.00539
-0.015	-0.169	0.241	0.0051
-0.019	-0.168	0.244	0.00539
-0.021	-0.165	0.248	0.00648
-0.022	-0.161	0.253	0.00781
-0.022	-0.156	0.259	0.00735
-0.02	-0.151	0.264	0.00806
-0.018	-0.145	0.269	0.00707
-0.015	-0.14	0.273	0.00806
-0.013	-0.134	0.278	0.00616
-0.011	-0.129	0.281	0.00735
-0.008	-0.123	0.284	0.0064
-0.006	-0.117	0.285	0.00548
-0.004	-0.112	0.286	0.00539
-0.002	-0.107	0.286	0.00548
-0.001	-0.102	0.284	0.00539
-0.001	-0.097	0.282	0.00583
-0.001	-0.092	0.279	0.0064
-0.001	-0.087	0.275	0.00714
-0.002	-0.082	0.27	0.00648
-0.003	-0.078	0.265	0.00806
-0.005	-0.072	0.26	0.00837
-0.008	-0.066	0.255	0.00768
-0.011	-0.061	0.25	0.00877
-0.015	-0.055	0.245	0.00985
-0.026	-0.043	0.234	0.00927
-0.031	-0.038	0.228	0.01109
-0.038	-0.033	0.221	0.01158
-0.045	-0.027	0.214	0.01049
-0.05	-0.021	0.207	0.011
-0.057	-0.015	0.201	0.00985
-0.063	-0.009	0.196	0.01005
-0.069	-0.002	0.192	0.00872
-0.075	0.004	0.19	0.00787
-0.08	0.01	0.189	0.00812
-0.084	0.017	0.188	0.0064
-0.088	0.022	0.188	0.00707
-0.093	0.027	0.188	0.00671
-0.096	0.033	0.188	0.00566
-0.104	0.041	0.187	0.00574
-0.108	0.045	0.186	0.00412
-0.111	0.047	0.184	0.00469
-0.114	0.05	0.182	0.00346
-0.116	0.052	0.18	0.00458
-0.117	0.056	0.178	0.00424
-0.117	0.059	0.175	0.00374
-0.116	0.062	0.173	0.0052
-0.113	0.065	0.17	0.00656
-0.108	0.068	0.167	0.006
-0.104	0.07	0.163	0.00787
-0.097	0.072	0.16	0.00831
-0.09	0.074	0.156	0.007
-0.084	0.076	0.153	0.00949
-0.076	0.077	0.148	0.00911
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
-0.049	0.086	0.127	0.00883
-0.042	0.088	0.122	0.00837
-0.036	0.091	0.117	0.009
-0.03	0.094	0.111	0.00671
-0.025	0.096	0.107	0.00825
-0.019	0.1	0.103	0.0064
-0.015	0.103	0.099	0.00583
-0.012	0.107	0.096	0.00656
-0.009	0.112	0.093	0.00616
-0.007	0.117	0.09	0.00592
-0.006	0.122	0.087	0.00721
-0.006	0.128	0.083	0.00721
-0.006	0.134	0.079	0.00728
-0.005	0.14	0.075	0.00648
-0.006	0.145	0.071	0.06949
-0.019	0.077	0.065	0.06629
-0.03	0.012	0.058	0.15291
-0.006	0.163	0.06	0.00608
-0.006	0.169	0.059	0.00412
-0.005	0.173	0.059	0.00447
-0.003	0.177	0.059	0.00316
-0.002	0.18	0.059	0.00332
-0.001	0.183	0.058	0.00374
0.001	0.184	0.055	0.00469
0.004	0.186	0.052	0.00616
0.007	0.188	0.047	0.00671
0.01	0.188	0.041	0.00592
0.013	0.189	0.036	0.0064
0.017	0.189	0.031	0.0051
0.021	0.188	0.028	0.005
0.026	0.188	0.028	0.00374
0.029	0.186	0.029	0.00469
0.031	0.183	0.032	0.00469
0.033	0.18	0.035	0.00374
0.034	0.178	0.038	0.00447
0.034	0.176	0.042	0.00447
0.034	0.174	0.046	0.0051
0.033	0.174	0.051	0.0051
0.032	0.174	0.056	0.00447
0.032	0.176	0.06	0.00458
0.031	0.178	0.064	0.08274
0.02	0.096	0.063	0.06678
0.01	0.03	0.061	0.06329
0.016	0.093	0.062	0.06398
0.006	0.03	0.057	0.17231
0.027	0.201	0.06	0.00678
0.026	0.207	0.057	0.0064
0.025	0.213	0.055	0.0051
0.025	0.218	0.054	0.12319
0.008	0.096	0.052	0.04329
0.003	0.053	0.052	0.1719
0.028	0.223	0.057	0.003
0.03	0.221	0.058	0.00447
0.032	0.217	0.058	0.00548
0.034	0.212	0.057	0.10048
0.025	0.112	0.053	0.07328
0.02	0.039	0.049	0.15642
0.041	0.194	0.05	0.00616
0.044	0.189	0.048	0.0052
0.045	0.184	0.047	0.0051
0.048	0.18	0.046	0.0049
0.05	0.176	0.044	0.003
0.052	0.174	0.043	0.00412
0.054	0.171	0.041	0.00332
0.055	0.17	0.038	0.00245
0.056	0.169	0.036	0.00374
0.058	0.168	0.033	0.00283
0.06	0.168	0.031	0.001
0.06	0.168	0.03	0.00173
0.059	0.169	0.031	0.00539
0.056	0.171	0.035	0.00583
0.053	0.174	0.039	0.00539
0.051	0.177	0.043	0.00583
0.048	0.18	0.047	0.006
0.046	0.184	0.051	0.00616
0.044	0.189	0.054	0.00548
0.043	0.194	0.056	0.00671
0.043	0.2	0.059	0.0064
0.044	0.206	0.061	0.08737
0.036	0.119	0.061	0.07624
0.03	0.043	0.061	0.17753
0.051	0.219	0.071	0.006
0.055	0.221	0.075	0.00574
0.059	0.222	0.079	0.00707
0.064	0.222	0.084	0.00574
0.068	0.221	0.088	0.0064
0.072	0.218	0.092	0.00539
0.075	0.216	0.096	0.00616
0.078	0.214	0.101	0.006
0.08	0.21	0.105	0.00539
0.082	0.207	0.109	0.00469
0.084	0.204	0.112	0.0051
0.085	0.2	0.115	0.00469
0.087	0.197	0.118	0.00412
0.089	0.194	0.12	0.00374
0.091	0.191	0.121	0.00374
0.093	0.188	0.122	0.0051
0.096	0.184	0.121	0.00436
0.099	0.181	0.12	0.00374
0.102	0.179	0.119	0.00583
0.106	0.176	0.116	0.00374
0.109	0.175	0.114	0.0052
0.114	0.174	0.113	0.00361
0.117	0.174	0.111	0.00424
0.121	0.175	0.11	0.0051
0.125	0.178	0.109	0.00436
0.128	0.181	0.108	0.0064
0.132	0.185	0.105	0.00656
0.135	0.19	0.102	0.00755
0.139	0.195	0.098	0.00693
0.143	0.199	0.094	0.00707
0.146	0.203	0.089	0.00755
0.15	0.208	0.085	0.07945
0.156	0.129	0.079	0.08161
0.164	0.048	0.073	0.17401
0.162	0.222	0.074	0.0051
0.165	0.226	0.073	0.00648
0.17	0.23	0.072	0.00566
0.174	0.234	0.072	0.0051
0.177	0.238	0.073	0.00592
0.182	0.241	0.074	0.08769
0.193	0.154	0.074	0.08188
0.205	0.073	0.074	0.17528
0.196	0.248	0.078	0.00412
0.2	0.248	0.079	0.00316
0.203	0.249	0.079	0.00141
0.204	0.249	0.08	0.00141
0.205	0.249	0.081	0.002
0.205	0.249	0.083	0.003
0.205	0.249	0.086	0.00412
0.206	0.249	0.09	0.00316
0.205	0.249	0.093	0.00224
0.205	0.248	0.095	0.00283
0.205	0.246	0.097	0.00374
0.204	0.243	0.099	0.00592
0.201	0.238	0.1	0.00583
0.198	0.234	0.103	0.00539
0.195	0.23	0.105	0.006
0.191	0.226	0.107	0.00574
0.186	0.224	0.109	0.00671
0.181	0.222	0.113	0.00748
0.175	0.22	0.117	0.00806
